Data do snapshot,Artista,Plataforma,Handle,Seguidores/Inscritos,Total de posts,Likes totais,Origem
2026-08-24,Argentino,Instagram,oiargentino,339521,83,,carry
2026-08-24,Kaka,Instagram,reservaoikaka,8398,19,,carry
2026-08-24,Evy Baddie,Instagram,evybaddiee,277664,723,,carry
2026-08-24,Kysha e Mine,YouTube,KyshaeMine,3683608,,,seed
2026-08-24,Evy Baddie,YouTube,evybaddie,259000,,,seed
2026-08-25,Kysha e Mine,Instagram,kyshaeminee,739000,1048,,seed
2026-08-25,Kysha,Instagram,oikysha,1000000,1792,,seed
2026-08-25,Casa Saturno,Instagram,acasasaturno,276000,1775,,seed
2026-08-25,Fidelisx,YouTube,oifidelisx,11400,,,seed
2026-08-25,Russin Oficial,YouTube,Orussindomolejo,71700,,,seed
2026-08-25,Argentino,YouTube,Oiargentinoo,391000,,,seed
2026-08-25,Kaka,YouTube,Oiikaka__,187000,,,seed
2026-08-25,Casa Saturno,YouTube,acasasaturno,709000,,,seed
2026-08-25,Kysha e Mine,TikTok,kyshaeminee,263200,468,1700000,carry
2026-08-25,Kysha,TikTok,oikysha,6500000,1512,131700000,carry
2026-08-25,Mine,TikTok,aminequerida_,2500000,1050,39300000,carry
2026-08-25,Evy Baddie,TikTok,evybaddiee,579300,1208,10400000,carry
2026-08-25,Fidelisx,TikTok,oifidelisx,526200,1389,15700000,carry
2026-08-25,Russin Oficial,TikTok,orussindomolejo,948100,1315,35900000,carry
2026-08-25,Argentino,TikTok,oiargentino_,341500,1047,6500000,carry
2026-08-25,Kaka,TikTok,oiikaka__,151000,603,1700000,carry
2026-08-25,Casa Saturno,TikTok,acasasaturno,266600,1217,3900000,carry
2026-08-25,Mine,Instagram,aminequerida,1422790,1156,,carry
2026-08-25,Fidelisx,Instagram,oifidelisx,666157,254,,carry
2026-08-25,Russin Oficial,Instagram,russinmolejo,570797,1266,,carry
2026-08-25,Argentino,Instagram,oiargentino,339521,83,,carry
2026-08-25,Kaka,Instagram,reservaoikaka,8398,19,,carry
2026-08-25,Evy Baddie,Instagram,evybaddiee,277664,723,,carry
